iter	Passed	Remaining
1486	27860	9611
1487	27875	9591
1488	27890	9571
1489	27906	9551
1490	27921	9531
1491	27936	9511
1492	27953	9492
1493	27972	9473
1494	27990	9455
1495	28006	9435
1496	28020	9415
1497	28035	9395
1498	28050	9374
1499	28065	9355
1500	28080	9335
1501	28094	9315
1502	28109	9294
1503	28122	9274
1504	28239	9288
1505	28288	9279
1506	28307	9260
1507	28333	9244
1508	28352	9225
1509	28372	9206
1510	28401	9191
1511	28422	9173
1512	28439	9154
1513	28460	9136
1514	28485	9119
1515	28506	9101
1516	28523	9081
1517	28541	9062
1518	28560	9043
1519	28578	9024
1520	28598	9006
1521	28615	8986
1522	28633	8967
1523	28653	8949
1524	28669	8929
1525	28683	8909
1526	28698	8889
1527	28715	8870
1528	28730	8850
1529	28747	8831
1530	28765	8811
1531	28782	8792
1532	28805	8775
1533	28822	8755
1534	28839	8736
1535	28856	8717
1536	28875	8698
1537	28894	8679
1538	28915	8661
1539	28935	8642
1540	28953	8623
1541	28970	8604
1542	28989	8586
1543	29009	8567
1544	29027	8548
1545	29043	8528
1546	29058	8509
1547	29072	8488
1548	29087	8469
1549	29102	8449
1550	29117	8429
1551	29132	8409
1552	29151	8390
1553	29166	8370
1554	29185	8352
1555	29206	8333
1556	29225	8315
1557	29244	8296
1558	29263	8277
1559	29281	8258
1560	29299	8239
1561	29329	8224
1562	29350	8206
1563	29370	8187
1564	29397	8171
1565	29417	8152
1566	29437	8134
1567	29462	8117
1568	29484	8099
1569	29500	8079
1570	29518	8060
1571	29537	8042
1572	29565	8025
1573	29598	8010
1574	29654	8002
1575	29682	7985
1576	29708	7968
1577	29727	7950
1578	29752	7932
1579	29785	7917
1580	29811	7900
1581	29832	7882
1582	29859	7865
1583	29884	7848
1584	29904	7829
1585	29929	7812
1586	29957	7796
1587	29980	7778
1588	30015	7763
1589	30044	7747
1590	30072	7730
1591	30111	7716
1592	30186	7712
1593	30231	7700
1594	30268	7685
1595	30317	7674
1596	30363	7662
1597	30393	7645
1598	30420	7628
1599	30434	7608
1600	30448	7588
1601	30462	7568
1602	30477	7548
1603	30492	7528
1604	30508	7508
1605	30527	7489
1606	30560	7473
1607	30577	7454
1608	30594	7434
1609	30612	7415
1610	30630	7396
1611	30650	7377
1612	30673	7359
1613	30696	7341
1614	30716	7322
1615	30735	7303
1616	30752	7283
1617	30769	7264
1618	30787	7245
1619	30804	7225
1620	30821	7206
1621	30840	7187
1622	30856	7167
1623	30874	7148
1624	30890	7128
1625	30906	7108
1626	30921	7088
1627	30939	7069
1628	30966	7052
1629	30984	7033
1630	31002	7014
1631	31020	6994
1632	31038	6975
1633	31056	6956
1634	31074	6937
1635	31091	6917
1636	31110	6898
1637	31128	6879
1638	31146	6860
1639	31162	6840
1640	31178	6820
1641	31196	6801
1642	31211	6781
1643	31227	6762
1644	31244	6742
1645	31262	6723
1646	31278	6703
1647	31294	6684
1648	31310	6664
1649	31326	6645
1650	31342	6625
1651	31359	6605
1652	31383	6588
1653	31399	6568
1654	31413	6548
1655	31427	6528
1656	31442	6508
1657	31456	6488
1658	31473	6469
1659	31489	6449
1660	31505	6430
1661	31522	6410
1662	31539	6391
1663	31554	6371
